Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Gupta P., Gahegan M.","57199836982;55970397200;","Categories are in flux, but their computational representations are fixed: That's a problem",2020,"Transactions in GIS","24","2",,"291","314",,,"10.1111/tgis.12602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082917463&doi=10.1111%2ftgis.12602&partnerID=40&md5=eca4bd76bce3e78b05ed68e498d3125a","Department of Computer Science, University of Auckland, Auckland, New Zealand; Centre for eResearch, University of Auckland, Auckland, New Zealand","Gupta, P., Department of Computer Science, University of Auckland, Auckland, New Zealand; Gahegan, M., Department of Computer Science, University of Auckland, Auckland, New Zealand, Centre for eResearch, University of Auckland, Auckland, New Zealand","As research advances, our conceptual understanding also changes. Computational approaches do little to recognize the evolution that occurs at the conceptual level during the research process. This can result in misunderstanding between knowledge producers and consumers and so inhibit the reusability of outcomes. In this article, we describe how changes at the conceptual level can be represented, along with related changes to data and methods, and how appropriate connections between these various artefacts can be maintained. To demonstrate these ideas, we show how categories used in remote sensing and land cover analysis change over time and how these changes are linked to various research activities. We present a new system (called AdvoCate) that augments typical GIS and remote sensing functionality with a conceptual model of categories that can undergo change, and that also captures the cause of conceptual change and its extent. We argue that concepts and categories should be represented explicitly and richly within GIS, because without this, we have a poor idea of what our modeled entities really mean, and by implication how they should be used appropriately. We demonstrate the usefulness of this deeper representation using examples of category evolution from a land cover mapping exercise. © 2020 John Wiley & Sons Ltd",,"classification; GIS; land cover; mapping; model; remote sensing; research",Article,"Final",,Scopus,2-s2.0-85082917463
"Zhang C., Zhao T., Usery E.L., Varanka D., Li W.","57201189803;7402268093;6603751754;55948673400;35368706300;","Improving geospatial query performance of an interoperable geographic situation-awareness system for disaster response",2020,"Transactions in GIS","24","2",,"508","525",,,"10.1111/tgis.12614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079715450&doi=10.1111%2ftgis.12614&partnerID=40&md5=9dba369af9a566d1ddb01e6be5c05258","Department of Geography, Center for Environmental Sciences and Engineering, University of Connecticut, Storrs, CT, United States; Department of Computer Science, University of Wisconsin-Milwaukee, Milwaukee, WI, United States; Center of Excellence for Geospatial Information Science, USGS, Rolla, MO, United States","Zhang, C., Department of Geography, Center for Environmental Sciences and Engineering, University of Connecticut, Storrs, CT, United States; Zhao, T., Department of Computer Science, University of Wisconsin-Milwaukee, Milwaukee, WI, United States; Usery, E.L., Center of Excellence for Geospatial Information Science, USGS, Rolla, MO, United States; Varanka, D., Center of Excellence for Geospatial Information Science, USGS, Rolla, MO, United States; Li, W., Department of Geography, Center for Environmental Sciences and Engineering, University of Connecticut, Storrs, CT, United States","Disaster response operations require fast and coordinated actions based on real-time disaster situation information. Although crowdsourced geospatial data applications have been demonstrated to be valuable tools for gathering real-time disaster situation information, they only provide limited utility for disaster response coordination because of the lack of semantic compatibility and interoperability. To help overcome the semantic incompatibility and heterogeneity problems, we use Geospatial Semantic Web (GSW) technologies. We then combine GSW technologies with Web Feature Service requests to access multiple servers. However, a GSW-based geographic information system often has poor performance due to the complex geometric computations required. The objective of this research is to explore how to use optimization techniques to improve the performance of an interoperable geographic situation-awareness system (IGSAS) based on GSW technologies for disaster response. We conducted experiments to evaluate various client-side optimization techniques for improving the performance of an IGSAS prototype for flood disaster response in New Haven, Connecticut. Our experimental results show that the developed prototype can greatly reduce the runtime costs of geospatial semantic queries through on-the-fly spatial indexing, tile-based rendering, efficient algorithms for spatial join, and caching, especially for those spatial-join geospatial queries that involve a large number of spatial features and heavy geometric computation. © 2020 John Wiley & Sons Ltd",,"algorithm; crowdsourcing; disaster management; flood; GIS; heterogeneity; optimization; performance assessment; real time; spatial data; Connecticut; New Haven; United States",Article,"Final",,Scopus,2-s2.0-85079715450
"Shen J., Huang Y., Chen M.","56282720500;57193516284;55733214300;","Topological relations between a directed line and a directed region",2020,"Transactions in GIS","24","2",,"526","548",,,"10.1111/tgis.12615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079707923&doi=10.1111%2ftgis.12615&partnerID=40&md5=c2304e67f97b82c2dcb6bc118774ecbb","State Cultivation Base of Eco-agriculture for Southwest Mountainous Land, School of Geographical Sciences, Southwest University, Chongqing, China; Key Laboratory of Virtual Geographic Environment (Ministry of Education), Nanjing Normal University, Nanjing, China; Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing, China; State Key Laboratory Cultivation Base of Geographical Environment Evolution (Jiangsu Province), Nanjing Normal University, Nanjing, China","Shen, J., State Cultivation Base of Eco-agriculture for Southwest Mountainous Land, School of Geographical Sciences, Southwest University, Chongqing, China; Huang, Y., State Cultivation Base of Eco-agriculture for Southwest Mountainous Land, School of Geographical Sciences, Southwest University, Chongqing, China; Chen, M., Key Laboratory of Virtual Geographic Environment (Ministry of Education), Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing, China, State Key Laboratory Cultivation Base of Geographical Environment Evolution (Jiangsu Province), Nanjing Normal University, Nanjing, China","Representing the topological relations between directed spatial objects has gained increasing attention in recent years. Although topological relations between directed lines and other types of spatial objects, such as regions and bodies, have been widely investigated, few studies have focused on the topological relations between directed lines and directed regions. This research focuses on the representation and application of directed line–directed region (DLDR) topological relations, and may contribute to spatial querying and spatial analyses related to directed spatial objects or time-varying objects. Compared with other topological relation models, a DLDR model that considers the starting and ending points of the directed line and the front and back faces of directed regions is proposed in this research to describe the topological relations between directed lines and directed regions. DLDR topological relations are presented, the completeness of the 111 DLDR topological relations is proved, and the topological relations based on the 9-intersection model (9IM), 9+-intersection model (9+-IM), and DLDR model are compared. The formalism of the DLDR model and the corresponding geometric interpretations of the 111 DLDR topological relations are presented, seven propositions are stated to prove the completeness of the 111 DLDR topological relations, and the case study shows that more detailed topological relation information can be obtained based on the DLDR model. © 2020 John Wiley & Sons Ltd",,"comparative study; geometry; GIS; spatial analysis; topology",Article,"Final",,Scopus,2-s2.0-85079707923
"Yan J., Diakité A.A., Zlatanova S., Aleksandrov M.","55840593800;56441443500;15830792100;57188926268;","Finding outdoor boundaries for 3D space-based navigation",2020,"Transactions in GIS","24","2",,"371","389",,,"10.1111/tgis.12613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078949274&doi=10.1111%2ftgis.12613&partnerID=40&md5=25499c5c38a7f591fca3de7b2f8393c2","GRID, UNSW Built Environment, Sydney, NSW, Australia","Yan, J., GRID, UNSW Built Environment, Sydney, NSW, Australia; Diakité, A.A., GRID, UNSW Built Environment, Sydney, NSW, Australia; Zlatanova, S., GRID, UNSW Built Environment, Sydney, NSW, Australia; Aleksandrov, M., GRID, UNSW Built Environment, Sydney, NSW, Australia","Outdoor navigation is widely used in daily life, but faces various issues related to the fidelity of outdoor navigation networks. For instance, agents (pedestrians) are often guided via unrealistic detours around places without clear paths (e.g., squares) or if there are vertical constraints such as overpasses/bridges. This is partly explained by the fact that the main sources of navigation networks in current outdoor navigation are two-dimensional road/street networks. Utilizing a three-dimensional space-based navigation model, compatible with some indoor approaches, is a popular way to address the above-mentioned issues. A 3D space-based navigation model is generated by treating 3D spaces as nodes and the shared faces as edges. Inputs of this model are enclosed 3D spaces (volumes). However, outdoor spaces are generally open and unbounded. This article puts forward an approach to enclose outdoor spaces and mimic the indoor environments to derive a network based on connectivity and accessibility of spaces. The approach uses 2.5D maps and consists of three major steps: object footprint determination, footprint classification and space creation. Two use cases demonstrate the proposed approach. Enclosing outdoor spaces opens a new research direction toward providing seamless indoor/outdoor navigation for a range of agents. © 2020 John Wiley & Sons Ltd",,"GIS; map; navigation; pedestrian; road",Article,"Final",,Scopus,2-s2.0-85078949274
"Myrda G., Szady B., Ławrynowicz A.","57214688823;57197853360;55920281500;","Modeling and presenting incomplete and uncertain data on historical settlement units",2020,"Transactions in GIS","24","2",,"355","370",,,"10.1111/tgis.12609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078916259&doi=10.1111%2ftgis.12609&partnerID=40&md5=3f23444d0ce55c2e3a86bd357726d987","Institute of History, Polish Academy of Sciences, Warsaw, Poland; Faculty of Computing and Telecommunications, Poznan University of Technology, Poznań, Poland","Myrda, G., Institute of History, Polish Academy of Sciences, Warsaw, Poland; Szady, B., Institute of History, Polish Academy of Sciences, Warsaw, Poland; Ławrynowicz, A., Faculty of Computing and Telecommunications, Poznan University of Technology, Poznań, Poland","When entering information about changes of settlements in time into a database, we are dealing with direct facts from historical sources and with interpretations. The source information generally relates to an event or situation at a specific time. This means that we only fill in the parts of the timeline with data objects called (partial) manifestations; however, lack of data does not mean that settlement did not exist. It would take a lot of time to interpret and enter missing information manually. In this article we present a database schema, database procedures and algorithms to generate aggregated settlement unit manifestations in an automated way from their partial manifestations. As a result, it is possible to obtain a continuous history of a given settlement so as to present it on a map. © 2020 John Wiley & Sons Ltd",,"algorithm; database; map; modeling",Article,"Final",,Scopus,2-s2.0-85078916259
"Yoo E.-H., Roberts J.E., Eum Y., Shi Y.","8367109100;57214331186;57202421190;57214329713;","Quality of hybrid location data drawn from GPS-enabled mobile phones: Does it matter?",2020,"Transactions in GIS","24","2",,"462","482",,,"10.1111/tgis.12612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078671481&doi=10.1111%2ftgis.12612&partnerID=40&md5=f1b612555a7dff835e2610463f6b1a64","Department of Geography, State University of New York at Buffalo, Buffalo, NY, United States","Yoo, E.-H., Department of Geography, State University of New York at Buffalo, Buffalo, NY, United States; Roberts, J.E., Department of Geography, State University of New York at Buffalo, Buffalo, NY, United States; Eum, Y., Department of Geography, State University of New York at Buffalo, Buffalo, NY, United States; Shi, Y., Department of Geography, State University of New York at Buffalo, Buffalo, NY, United States","Despite their increasing popularity in human mobility studies, few studies have investigated the geo-spatial quality of GPS-enabled mobile phone data in which phone location is determined by special queries designed to collect location data with predetermined sampling intervals (hereafter “active mobile phone data”). We focus on two key issues in active mobile phone data—systematic gaps in tracking records and positioning uncertainty—and investigate their effects on human mobility pattern analyses. To address gaps in records, we develop an imputation strategy that utilizes local environment information, such as parcel boundaries, and recording time intervals. We evaluate the performance of the proposed imputation strategy by comparing raw versus imputed data with participants’ online survey responses. The results indicate that imputed data are superior to raw data in identifying individuals’ frequently visited places on a weekly basis. To assess the location accuracy of active mobile phone data, we investigate the spatial and temporal patterns of the positional uncertainty of each record and examine via Monte Carlo simulation how inaccurate location information might affect human mobility pattern indicators. Results suggest that the level of uncertainty varies as a function of time of day and the type of land use at which the position was determined, both of which are closely related to the location technology used to determine the location. Our study highlights the importance of understanding and addressing limitations of mobile phone derived positioning data prior to their use in human mobility studies. © 2020 John Wiley & Sons Ltd",,"data quality; GPS; Internet; mobile phone; mobility; Monte Carlo analysis; sampling; spatial analysis; tracking; uncertainty analysis",Article,"Final",,Scopus,2-s2.0-85078671481
"Zhang M., Wang B., Liu D.L., Liu J., Zhang H., Feng P., Kong D., Cleverly J., Yang X., Yu Q.","57203972920;57216234570;55796630332;55036525000;57207951986;57201091016;56647435500;6603208467;35212633600;57199725155;","Incorporating dynamic factors for improving a GIS-based solar radiation model",2020,"Transactions in GIS","24","2",,"423","441",,,"10.1111/tgis.12607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078069097&doi=10.1111%2ftgis.12607&partnerID=40&md5=92676fa03f91b32dce21629a06f5f7c6","State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Northwest A&F University, Yangling, China; School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia; NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia; Climate Change Research Centre and ARC Centre of Excellence for Climate Extremes, University of New South Wales, Sydney, Australia; State Key Laboratory of Severe Weather, Chinese Academy of Meteorological Sciences, Beijing, China; Department of Water Resources and Environment, Sun Yat-sen University, Guangzhou, China; NSW Office of Environment and Heritage, Sydney, Australia; College of Resources and Environment, University of Chinese Academy of Science, Beijing, China","Zhang, M., State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Northwest A&F University, Yangling, China, School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia, NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia; Wang, B., NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia; Liu, D.L., NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia, Climate Change Research Centre and ARC Centre of Excellence for Climate Extremes, University of New South Wales, Sydney, Australia; Liu, J., State Key Laboratory of Severe Weather, Chinese Academy of Meteorological Sciences, Beijing, China; Zhang, H., School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia, NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia; Feng, P., School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia, NSW Department of Primary Industries, Wagga Wagga Agricultural Institute, Wagga Wagga, Australia; Kong, D., Department of Water Resources and Environment, Sun Yat-sen University, Guangzhou, China; Cleverly, J., School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia; Yang, X., State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Northwest A&F University, Yangling, China, School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia, NSW Office of Environment and Heritage, Sydney, Australia; Yu, Q., State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Northwest A&F University, Yangling, China, School of Life Sciences, Faculty of Science, University of Technology Sydney, Sydney, Australia, College of Resources and Environment, University of Chinese Academy of Science, Beijing, China","Solar radiation has been a major input to agricultural, hydrological, and ecological modeling. However, solar radiation is usually influenced by three groups of dynamic factors: sun–earth position, terrain, and atmospheric effects. Therefore, an integrated approach to accurately consider the impacts of those dynamic factors on solar radiation is essential to estimate solar radiation over rugged terrain. In this study, a spatial and temporal gap-filling algorithm was proposed to obtain a seamless daily MODIS albedo dataset. A 1 km-resolution digital elevation model was used to model the impact of local topography and shading by surrounding terrain on solar radiation. A sunshine-based model was adopted to simulate radiation under the influence of clouds. A GIS-based solar radiation model that incorporates albedo, shading by surrounding terrain, and variations in cloudiness was used to address the spatial variability of these factors in mountainous terrain. Compared with other independent solar radiation products, our model generated a more reliable solar radiation product over rugged terrain, with an R2 of 0.88 and an RMSE of 2.55 MJ m−2 day−1. The improved solar radiation products and open source app can be used further in practice or scientific research. © 2020 John Wiley & Sons Ltd",,"albedo; data set; digital elevation model; GIS; MODIS; solar radiation; spatiotemporal analysis",Article,"Final",,Scopus,2-s2.0-85078069097
"Heitzler M., Hurni L.","55906758700;6603125833;","Cartographic reconstruction of building footprints from historical maps: A study on the Swiss Siegfried map",2020,"Transactions in GIS","24","2",,"442","461",,,"10.1111/tgis.12610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078011462&doi=10.1111%2ftgis.12610&partnerID=40&md5=a178f55f9d8400a0f36ef2387d447ae2","Institute of Cartography and Geoinformation, ETH Zürich, Zürich, Switzerland","Heitzler, M., Institute of Cartography and Geoinformation, ETH Zürich, Zürich, Switzerland; Hurni, L., Institute of Cartography and Geoinformation, ETH Zürich, Zürich, Switzerland","Extracting features from printed maps has been a challenge for decades; historical maps pose an even larger problem due to manual, inconsistent drawing or scribing, low printing quality, and geometrical distortions. In this article, a new workflow is introduced, consisting of a segmentation step and a vectorization step to acquire high-quality polygon representations of building footprints from the Siegfried map series. For segmentation, an ensemble of U-Nets is trained, yielding pixel-based predictions with an average intersection over union of 88.2% and an average precision of 98.55%. For vectorization, methods based on contour tracing and orientation-based clustering are proposed to approximate idealized polygonal representations. The workflow has been tested on 10 randomly selected map sheets from the Siegfried map, showing that the time required to manually correct these polygons drops to about 45 min per map sheet. Of this sample, approximately 10% of buildings required manual corrections. This workflow can serve as a blueprint for similar vectorization efforts. © 2020 John Wiley & Sons Ltd",,"computer simulation; footprint; GIS; historical cartography; satellite data; satellite imagery; Switzerland",Article,"Final",,Scopus,2-s2.0-85078011462
"Yin Z., Li S., Ying S., Jin Z., Liu H., Xiao J.","9279343600;57205696532;15129278900;57205689624;57206867776;57205685797;","Method for calculating the encounter probability in network space",2020,"Transactions in GIS","24","2",,"402","422",,,"10.1111/tgis.12605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077910078&doi=10.1111%2ftgis.12605&partnerID=40&md5=23b3e12e74fe4fc9bae78b158a5cc782","School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; School of Resource and Environmental Sciences, Wuhan University, Wuhan, China","Yin, Z., School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; Li, S., School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; Ying, S., School of Resource and Environmental Sciences, Wuhan University, Wuhan, China; Jin, Z., School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; Liu, H., School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; Xiao, J., School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China","Probabilistic time geography (PTG) can be used to measure the probability of random encounters between two moving objects. Available PTG methods are based on homogeneous space, while the network space is typically heterogeneous, which constrains individuals to the network. Therefore, the PTG of the network must consider the geographic network. Based on this, we put forward a method for calculating the encounter probability of objects that are moving in a network by considering network constraints on movement. These constraints not only restrict the space-time accessibility of the moving objects, but also affect the probability of them visiting locations or encountering other objects in space and time. Therefore, in network space, our method improves measures of the likelihood of encounters between moving objects, thereby enabling more accurate predictions of encounter events and their probabilities. Finally, the performance of the method is experimentally evaluated. In the experiment, campus road network data and simulated trip data are used to calculate the encounter probabilities of two moving objects and to determine when and where two moving objects meet with the highest probability. © 2020 John Wiley & Sons Ltd",,"GIS; heterogeneity; historical geography; movement; network analysis; prediction; probability",Article,"Final",,Scopus,2-s2.0-85077910078
"Wang L., Ai T., Shen Y., Li J.","57207493901;55645790600;57195372153;35068160900;","The isotropic organization of DEM structure and extraction of valley lines using hexagonal grid",2020,"Transactions in GIS","24","2",,"483","507",,,"10.1111/tgis.12611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077896129&doi=10.1111%2ftgis.12611&partnerID=40&md5=b3806246bfe9575aa49a3a4d0597b356","School of Resource and Environment Sciences, Wuhan University, Wuhan, China","Wang, L., School of Resource and Environment Sciences, Wuhan University, Wuhan, China; Ai, T., School of Resource and Environment Sciences, Wuhan University, Wuhan, China; Shen, Y., School of Resource and Environment Sciences, Wuhan University, Wuhan, China; Li, J., School of Resource and Environment Sciences, Wuhan University, Wuhan, China","The automatic extraction of valley lines (VLs) from digital elevation models (DEMs) has had a long history in the GIS and hydrology fields. The quality of the extracted results relies on the geometrical shape, spatial tessellation, and placement of the grids in the DEM structure. The traditional DEM structure consists of square grids with an eight-neighborhood relationship, where there is an inconsistent distance measurement between orthogonal neighborhoods and diagonal neighborhoods. The directional difference results in the extracted VLs by the D8 algorithm not guaranteeing isotropy characteristics. Alternatively, hexagonal grids have been proved to be advantageous over square grids due to their consistent connectivity, isotropy of local neighborhoods, higher symmetry, increased compactness, and more. Considering the merits above, this study develops an approach to VL extraction from DEMs based on hexagonal grids. First, the pre-process phase contains the depression filling, flow direction calculation, and flow accumulation calculation based on the six-neighborhood relationship. Then, the flow arcs are connected, followed by estimating the flow direction. Finally, the connected paths are organized into a tree structure. To explore the effectiveness of hexagonal grids, comparative experiments are implemented against traditional DEMs with square grids using three sample regions. By analyzing the results between these two grid structures via visual and quantitative comparison, we conclude that the hexagonal grid structure has an outstanding ability in maintaining the location accuracy and bending characteristics of extracted valley networks. That is to say, the DEM-derived VLs based on hexagonal grids have better spatial agreement with mapped river systems and lower shape diversion under the same resolution representation. Therefore, the DEMs with hexagonal grids can extract finer valley networks with the same data volume relative to traditional DEM. © 2020 The Authors. Transactions in GIS published by John Wiley & Sons Ltd",,"accuracy assessment; data set; digital elevation model; GIS; hydrology; neighborhood; spatial resolution; spatiotemporal analysis",Article,"Final",Open Access,Scopus,2-s2.0-85077896129
