Authors;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Document Type;Publication Stage;Access Type;Source;EID;label
Winther R.G.;"7004232729;";Cutting the Cord: A Corrective for World Navels in Cartography and Science;2020;Cartographic Journal;57;2;;147;159;;;10.1080/00087041.2018.1534043;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087572863&doi=10.1080%2f00087041.2018.1534043&partnerID=40&md5=21dcb90674109c9a53f3766a328dc934;University of California Santa Cruz, Santa Cruz, CA, United States;Winther, R.G., University of California Santa Cruz, Santa Cruz, CA, United States;A map is not its territory. Taking a map too seriously may lead to pernicious reification: map and world are conflated. As one family of cases of such reification, I focus on maps exuding the omphalos syndrome, whereby a centred location on the map is taken to be the world navel of, for instance, an empire. I build on themes from my book When Maps Become the World, in which I analogize scientific theories to maps, and develop the tools of assumption archaeology and integration platforms. Here I argue that excavating assumptions helps fill cartographic silences, showing the limitations of perspectives often at war. Furthermore, integrating perspectives permits resisting imperial central or master images. A worthwhile future project would be a repository of world-navel maps, critically annotated with cultural context and imperial information. Mutual understanding may result from such an integration platform, perhaps implemented online or in a museum. © 2019, © 2019 British Cartographic Society.;"assumptions; cartographic representation; cartographic silence; Omphalos syndrome; philosophy of science; reification";"archaeology; cartography; culture; imperialism; Internet; map; museum";Article;Final;;Scopus;2-s2.0-85087572863;1
Fast V., Hossain F.;"56963795100;57217738107;";An Alternative to Desktop GIS? Evaluating the Cartographic and Analytical Capabilities of WebGIS Platforms for Teaching;2020;Cartographic Journal;57;2;;175;186;;;10.1080/00087041.2019.1631514;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087563018&doi=10.1080%2f00087041.2019.1631514&partnerID=40&md5=e81d2ac58707f4ba94bff8475f7b6c74;Department of Geography, University of Calgary, Calgary, Canada;"Fast, V., Department of Geography, University of Calgary, Calgary, Canada; Hossain, F., Department of Geography, University of Calgary, Calgary, Canada";The increasing prevalence of (open) geospatial data has amplified the demand for online tools to input, manage, and analyse data and generate cartographic outputs. WebGIS platforms are responding to this demand by delivering cost-effective, relatively easy to use compared to desktop GIS software, and increasingly sophisticated tools. The continued advancement of webGIS platforms highlights the necessary, but tricky, integration of these platforms into university curriculum. In this paper, we develop an evaluation framework for users to assess, compare, and benchmark the cartographic capabilities of four webGIS platforms–ArcGIS Online, Carto, Mapbox, and GIS Cloud–against standard GIS functionality. The webGIS platforms studied offer advanced data management and some spatial analysis capabilities, but in contrast, they have limited cartographic capabilities for creating static maps. Recognizing that platforms change, and change often, this study serves to benchmark the capabilities of webGIS platforms, while reflecting on the observed challenges to teaching neocartography tools. © 2019, © 2019 British Cartographic Society.;"cartographic standards; desktop GIS; evaluation metric; neocartography; neogeography; WebGIS platforms";"ArcGIS; benchmarking; cartography; comparative study; curriculum; software; spatial analysis; teaching";Article;Final;;Scopus;2-s2.0-85087563018;1
Kent A.J., Vujakovic P., Eades G., Davis M.;"26323581300;6603007995;26638151400;57195303912;";Putting the UN SDGs on the Map: The Role of Cartography in Sustainability Education;2020;Cartographic Journal;57;2;;93;96;;1;10.1080/00087041.2020.1770424;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087560048&doi=10.1080%2f00087041.2020.1770424&partnerID=40&md5=31bcae51e6a184c35c2fcc6ababc5509;;"Kent, A.J.; Vujakovic, P.; Eades, G.; Davis, M.";[No abstract available];;;Editorial;Final;Open Access;Scopus;2-s2.0-85087560048;1
Poplin A.;"42962367800;";Exploring Evocative Places and their Characteristics;2020;Cartographic Journal;57;2;;130;146;;;10.1080/00087041.2019.1660502;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080990124&doi=10.1080%2f00087041.2019.1660502&partnerID=40&md5=9f2e3e2169ba3f8d6e04049413717c3c;Department of Community and Regional Planning, Iowa State University, Ames, IA, United States;Poplin, A., Department of Community and Regional Planning, Iowa State University, Ames, IA, United States;The main goal of this article is to study how people describe emotions related to places and to improve understanding of evocative places, their locations and characteristics as described by the citizens. Evocative places are places that evoke an especially emotional response in terms of images, memories and/or emotions. We aim to contribute to a better understanding of emotions in relation to places. Our study concentrates on Ames, a small university town in the Midwest in North America. The collected 192 locations show two areas with high concentrations of evocative places, specifically the university campus and Ada Hayden Heritage Park. This study opened up challenging research questions related to fuzzy or non-existing boundaries of places, a variety of shapes of places, and questions related to the challenges of modelling emotions as objects or attributes in a geographic information system. We conclude the article with main findings and further research directions. © 2020, © 2020 British Cartographic Society.;"characteristics of places; emotions; Evocative places; geovisualization; online-map experiments; paper-map experiments";"GIS; perception; research work; university sector; Midwest; United States";Article;Final;;Scopus;2-s2.0-85080990124;1
Headland R.K.;"20433455600;";Territory and Claims in the Antarctic Treaty Region: A Disquisition on Historical and Recent Developments;2020;Cartographic Journal;57;2;;160;174;;1;10.1080/00087041.2019.1677035;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080131959&doi=10.1080%2f00087041.2019.1677035&partnerID=40&md5=21fbca95ca19202144aa6b3fc8ebd3ac;Scott Polar Research Institute, Cambridge, United Kingdom;Headland, R.K., Scott Polar Research Institute, Cambridge, United Kingdom;Formal specifications of territorial claims over Antarctic regions south of 60° south latitude, the region under the ægis of the Antarctic Treaty made on 1st December 1959, have been significant from their origin, early in the twentieth century, until several of the conundrums they raised went into abeyance after the Treaty came into force in 1961. Nevertheless, the history of such claims has not been entirely simple and there have been significant subsequent events involving Ecuador and Norway. Changes after the Antarctic Treaty are noted and the history of earlier territorial specifications recapitulated. Documents are quoted in the original languages. Comparative data of territories are presented with summarized observations on accuracy of cartographic representations. © 2020, © 2020 British Cartographic Society.;"Antarctica; Argentina; Australia; Britain; Chile; Ecuador; France; New Zealand; Norway; Russia; United States";"accuracy assessment; Antarctic Treaty; historical cartography; historical perspective; international relations; territorial delimitation; territorial dispute; Antarctica; Ecuador; Norway";Article;Final;;Scopus;2-s2.0-85080131959;1
Hernik J., Prus B., Dixon-Gough R., Taszakowski J., Navratil G., Mansberger R.;"15725136900;56728744500;6602769074;57190442650;7003629441;36477200100;";The Evolution of Cadastral Systems in Austria and Galicia (Poland): Different Approaches to a Similar System from a Common Beginning;2020;Cartographic Journal;57;2;;97;112;;1;10.1080/00087041.2018.1534344;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078455751&doi=10.1080%2f00087041.2018.1534344&partnerID=40&md5=45af4a634afad5c0bcb6f861a8536368;"Józef Hernik, Barbara Prus and Robert Dixon-Gough, Department of Land Management and Landscape Architecture, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Jarosław Taszakowski, Department of Agricultural Geodesy, Cadastre and Photogrammetry, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Gerhard Navratil, Department for Geodesy and Geoinformation, TU Vienna, Vienna, Austria; Reinfried Mansberger, Institute of Surveying, Remote Sensing and Land Information, University of Natural Resources and Life Sciences, Vienna, Austria";"Hernik, J., Józef Hernik, Barbara Prus and Robert Dixon-Gough, Department of Land Management and Landscape Architecture, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Prus, B., Józef Hernik, Barbara Prus and Robert Dixon-Gough, Department of Land Management and Landscape Architecture, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Dixon-Gough, R., Józef Hernik, Barbara Prus and Robert Dixon-Gough, Department of Land Management and Landscape Architecture, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Taszakowski, J., Jarosław Taszakowski, Department of Agricultural Geodesy, Cadastre and Photogrammetry, Faculty of Environmental Engineering and Land Surveying, University of Agriculture in Krakow, Krakow, Poland; Navratil, G., Gerhard Navratil, Department for Geodesy and Geoinformation, TU Vienna, Vienna, Austria; Mansberger, R., Reinfried Mansberger, Institute of Surveying, Remote Sensing and Land Information, University of Natural Resources and Life Sciences, Vienna, Austria";The main aim of this paper is to document the gradual evolution of cadastral maps and associated land books in the area of today’s Austria as well as the more dramatic development of the cadastral system in Galicia (Poland). The continuous development of the Austrian system is compared to the more gradual evolution of the Polish system, the development of which was more complex because of the historical and political developments in this country’s turbulent past. However both systems have common roots with the Franciscan Cadastre. The investigation is based on development of the legal instruments, the institutional settings, the technical procedures, and the final products of the respected countries. The comparison of the development in the two countries and the results of the investigated quality assessment of cadastral maps clearly document that the smooth development of a cadastre requires a stable political situation. The Austrian cadastre had already almost finished the period of consolidation, harmonization, and completion in 1938. This allowed a new area of further development to evolve after 1945. In Poland, the unfinished tasks of homogenization and harmonization in 1939 and the significant changes in the political system in 1945 delayed consolidation, harmonization, and completion of the cadastral system and impeded the continuous development of the system for the next decades. © 2020, © 2020 British Cartographic Society.;"Austria; cadastral information system; cadastral map; Franciscan Cadastre; Galicia; land book; Poland";"cadastre; historical cartography; map; political development; political system; Austria; Galicia [Poland-Ukraine]";Article;Final;;Scopus;2-s2.0-85078455751;1
Lorek D., Medyńska-Gulij B.;"57192933263;6507580308;";Scope of Information in the Legends of Topographical Maps in the Nineteenth Century–Urmesstischblätter;2020;Cartographic Journal;57;2;;113;129;;2;10.1080/00087041.2018.1547471;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067690740&doi=10.1080%2f00087041.2018.1547471&partnerID=40&md5=77da6cd9de0a59dfef51bd5dbb2b87fd;Department of Cartography and Geomatics, Faculty of Geographical and Geological Sciences, Adam Mickiewicz University in Poznan, Poznan, Poland;"Lorek, D., Department of Cartography and Geomatics, Faculty of Geographical and Geological Sciences, Adam Mickiewicz University in Poznan, Poznan, Poland; Medyńska-Gulij, B.";The aim of this study is to determine the informational resource of maps (two folios) of the Urmesstischblätter with reference to the legend (three editions). Visual analysis was used as the basis for acquiring information that could be gleaned from the legends, contents of the folios, marginalia and later map. The information gathered was grouped applying the geoinformational method. The informational resource of the folios was determined by identifying separate objects present on the map with reference to the legend (number of separations in the legend), taking into consideration the geometrical type of objects. In addition, the informational resource of a folio was also defined by the number of features of these objects that can be obtained (from the legend, cartographic content, marginalia, Messtischblätter) with reference to cartographic measurement levels. © 2019, © 2019 British Cartographic Society.;"legend; nineteenth century; scope of spatial information; Topographical maps; Urmesstischblätter";"cartography; geometry; nineteenth century; topographic mapping; visual analysis";Article;Final;;Scopus;2-s2.0-85067690740;1
Kent A.J.;"26323581300;";All that Glitters: Art, Fire and Post-Cartographic Design;2020;Cartographic Journal;57;1;;1;5;;;10.1080/00087041.2020.1735085;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082534129&doi=10.1080%2f00087041.2020.1735085&partnerID=40&md5=043fb57f1161e44e28556981369cdcc8;;Kent, A.J.;[No abstract available];;;Editorial;Final;Open Access;Scopus;2-s2.0-85082534129;1
Gašperič P., Komac B.;"8204754100;6506321882;";Remapping Fictional Worlds: A Comparative Reconstruction of Fictional Maps;2020;Cartographic Journal;57;1;;70;85;;;10.1080/00087041.2019.1629168;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075973915&doi=10.1080%2f00087041.2019.1629168&partnerID=40&md5=eb30359151ef300c90387aa3c4f6e09c;Research Centre of the Slovenian Academy of Sciences and Arts, Anton Melik Geographical Institute, Ljubljana, Slovenia;"Gašperič, P., Research Centre of the Slovenian Academy of Sciences and Arts, Anton Melik Geographical Institute, Ljubljana, Slovenia; Komac, B., Research Centre of the Slovenian Academy of Sciences and Arts, Anton Melik Geographical Institute, Ljubljana, Slovenia";This article presents a quantitative analysis of fictional maps and their relation to historic maps from different periods. Fictional maps are maps of imaginary territories. This type of map is now common in fiction, but they arose relatively late, in the second half of the nineteenth century, and are considered an independent branch of cartography today. They stand out through the way they are published because they are component parts of books and not independent cartographic works, and therefore their creators are not cartographers but rather the authors of these books. Fictional maps are mostly subordinate to the story, but they serve to give a sense of historical authenticity and draw the reader into the story. Without networks of coordinates and with labels such as ‘the end of the world’, they are spatially indeterminate, but they establish a connection between the fictional landscape and its identity. This study deals with 89 fictional maps from recent children’s and young adult literature. First we present a historical overview of these works and fictional maps, and then a cartographic analysis of fictional maps. We examined seventy-seven books with fictional maps and evaluated the maps according to five groups of standard cartographic elements: natural elements, built elements, toponyms, mathematical elements, and explanatory elements. We discuss the differences between cartographic representation of fictional maps and historic maps, and build a cartographic model based on the frequency of cartographic elements to put fictional maps into historic and geographical contexts. © 2019, © 2019 British Cartographic Society.;"cartographic analysis; geography of fiction; history of cartography; human geography; Maps";"cartography; comparative study; history of geography; human geography; mapping method; nineteenth century; reconstruction";Article;Final;;Scopus;2-s2.0-85075973915;1
Petrulevich A., Backman A., Adams J.;"57208964009;57207970872;57160625600;";Medieval Macrospace Through GIS: The Norse World Project Approach;2020;Cartographic Journal;57;1;;18;27;;;10.1080/00087041.2019.1596341;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073954025&doi=10.1080%2f00087041.2019.1596341&partnerID=40&md5=9d0ca71573c72dd0b73a744e6230d21a;Department of Scandinavian Languages, Uppsala University, Uppsala, Sweden;"Petrulevich, A., Department of Scandinavian Languages, Uppsala University, Uppsala, Sweden; Backman, A., Department of Scandinavian Languages, Uppsala University, Uppsala, Sweden; Adams, J., Department of Scandinavian Languages, Uppsala University, Uppsala, Sweden";The project ‘The Norse Perception of the World’ is building a digital infrastructure to facilitate interdisciplinary research on medieval worldviews as recorded in East Norse texts. It does so by collecting spatial material, i.e. attestations of place names and other location-based data from medieval vernacular manuscripts, early prints, and runic inscriptions from fictional, non-biblical, and scientific texts dated to before 1530, and providing free access to these spatial references through a tailored back-end MySQL database and an interactive end-user interface with mapping via Leaflet and Leaflet.markercluster. This paper discusses how geocoding can be problematic when applied to pre-modern materials, as the concept of space is a temporal and social variable, especially when dealing with ideas about places abroad. The geospatial visualization employed by the project has no ambition to represent a historically correct worldview as understood by medieval Scandinavians. Rather, it is an anachronistic tool for managing and obtaining an overview of the spatial references in East Norse texts. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;"East Norse; interactive GIS; Leaflet; place names; Scandinavian philology; Spatial humanities";"digitization; GIS; interdisciplinary approach; Medieval; perception; research work; visualization; Scandinavia";Article;Final;Open Access;Scopus;2-s2.0-85073954025;1
