Ordinal,Codigo,CIG_SI_NO_*_2,votos_CIG,votos_No_CIG,Titulo,Resumen,Title,Abstract,,,,,
1,#A00,0,5,7,Enfoque estructural de generación de imágenes de textura,"Las imágenes NOAA AVHRR tomadas en 1994 se han utilizado como referencia principal en la selección regional de áreas adecuadas para actividades acuícolas en Baie des Chaleurs (este de Canadá). La temperatura de la superficie del mar extraída de estas imágenes ha permitido tanto un análisis cualitativo como cuantitativo de los eventos térmicos que ocurrieron durante el período de observaciones. Se han analizado otras mediciones in situ, como la salinidad, la velocidad actual y los pigmentos de clorofila de manera que se identifique la variabilidad espacio-temporal de las características de las aguas superficiales. Esta información ha sido analizada dentro de Idrisi. Las diferentes capas permitieron la producción de un mapa preliminar del índice regional de idoneidad de la acuicultura de Baie des Chaleurs. Según este índice (definido entre 0 y 1), se delineó una zona de potencial acuícola situada entre un índice de 0,5 a 0,75 sobre una superficie regional de aproximadamente 300 km2. Esta ubicación era previsible ya que muestra altas concentraciones de pigmentos de clorofila, proporcionando buenas condiciones ambientales para una alta productividad biológica.",Approche structurale de generation d'images de texture,"NOAA AVHRR images taken in 1994 have been used as a primary reference in the regional selection of areas suitable for aquaculture activities in Baie des Chaleurs (eastern Canada). The sea surface temperature extracted from these images has allowed both a qualitative and quantitative analysis of thermal events that occurred during the period of observations. Other in situ measurements, such as salinity, current speed and chlorophyll pigments have been analysed in such a manner as to identify the space-time variability of surface water characteristics. This information has been analysed within Idrisi. The different layers enabled a preliminary regional aquaculture suitability index map of Baie des Chaleurs to be produced. According to this index (defined between 0 and 1), a zone of an aquaculture potential situated between an index of 0.5 to 0.75 was delineated over a regional surface area of about 300 km2. This location was foreseeable since it shows high chlorophyll pigment concentrations, providing good enviromental conditions for high biological productivity. Resume. L'utilisation des images de texture dans l'analyse numerique de donnees de teledetection necessite une caracterisation quantitative de cette texture. Diverses methodes sont utilisees, certaines caracterisent la distribution spatiale des niveaux de gris qui est alors utilisee comme outil de segmentation d'une image en parametres de texture, d'autres approches d'analyse de texture sont basees sur l'extraction des parametres structuraux des images satellitaires. Nous proposons dans cet article une approche structurale d'analyse de texture permettant la generation d'images derivees caracterisant les differents aspects d'organisation spatiale des images de teledetection. Cette approche est basee sur le concept d'unite de texture. Elle permet le calcul d'un nouveau spectre de texture multiniveaux sur une fenetre de l'image et enfin la generation des images derivees des statistiques de ce spectre. Les images generees decrivent les caracteristiques de symetrie, d'orientation absolue et relative de la texture. La methode developpee a ete testee sur des images de Landsat TM sur une region du Sud algerien. L'evaluation des resultats a ete faite par rapport aux donnees cartographiques, cartes et photographies aeriennes. ?? 1997 Taylor And Francis Ltd.",,,,,
2,#A01,2,11,1,Un conjunto de datos de reflectividad de superficie global para la región 2.2-2.35 ?? m,"La falta de datos de reflectividad de la superficie en la región del infrarrojo cercano y la necesidad de esta información para un proyecto en curso sobre sondeo remoto de la contaminación atmosférica motivaron la búsqueda de un enfoque científico y práctico para crear un conjunto de datos globales de reflectividad de la superficie con estacionalidad. a 2.2-2.35 ?? m región. Dado que la reflectividad de la superficie varía significativamente con el tipo de suelo sin vegetación y la extensión de la cobertura de la vegetación superficial, primero se hicieron intentos para determinar la reflectividad de la superficie de cada uno de los principales 'componentes' de la superficie de la Tierra en la región del espectro de interés. Los datos de la banda 7 de Landsat TM se usaron para derivar los valores de reflectividad para esos componentes. Además, se utilizó el conjunto de datos del Ã?ndice global de área foliar (LAI) del Proyecto internacional de climatología de superficie terrestre satelital (ISLSCP) para calcular la variación estacional de la fracción de cobertura vegetal de cualquier área de superficie dada. Luego se obtiene un mapa global de la reflectividad en la región de 2,3 mu m tomando un promedio ponderado de los valores de reflectividad de varios componentes básicos de la superficie subyacente. El peso de cada componente superficial característico proviene de su área fraccional. Se presenta una breve descripción sobre cómo calcular la fracción de cobertura vegetal caracterizada por la Fracción del área de la hoja verde (LAF) a partir de conjuntos de datos del Ã?ndice de vegetación de diferencia normalizada (NDVI) ampliamente disponibles. También se presenta la comparación de la reflectividad superficial derivada por este enfoque con valores de reflectividad calculados independientemente de los datos de Landsat para algunas áreas seleccionadas. La metodología general se puede ampliar para lograr un mapeo de mayor resolución cuando los conjuntos de datos requeridos estén disponibles.",A global surface reflectivity data set for the 2.2-2.35 ??m region,"The lack of surface reflectivity data in the near-infrared region and the need of this information for an on-going project on remote sounding of atmospheric pollution motivated a search for a scientific, yet practical approach to creating a global data set of surface reflectivity with seasonality at 2.2-2.35 ??m region. Since the surface reflectivity varies significantly with the type of unvegetated ground and the extent of surface vegetation coverage, attempts were first made to determine the surface reflectivity of each of the major 'components' of the Earth's surface in the spectrum region of interest. The Landsat TM band 7 data were used to derive the reflectivity values for those components. Furthermore, the global Leaf Area Index (LAI) data set from the International Satellite Land Surface Climatology Project (ISLSCP) was used to calculate the seasonal variation of the fraction of vegetation coverage of any given surface areas. A global map of reflectivity in the 2.3 mu m region is then derived by taking a weighted average of the reflectivity values of several basic components of the underlying surface. The weight of each characteristic surface component comes from its fractional area. A brief description is presented on how to calculate the fraction of vegetation coverage characterized by the green Leaf Area Fraction (LAF) from widely available Normalized Difference Vegetation Index (NDVI) data sets. Also presented is the comparison of the derived surface reflectivity by this approach with independently calculated reflectivity values from the Landsat data for some selected areas. The overall methodology can be extended to achieve a higher-resolution mapping when the required data sets become available. ?? 1998, Taylor & Francis Group, LLC. All rights reserved.",,,,,
3,#A02,2,11,1,Un enfoque de clasificación iterativo para mapear recursos naturales a partir de imágenes satelitales,"Este proyecto explora un proceso de clasificación iterativo como alternativa a las clasificaciones en dos etapas. En el enfoque de clasificación iterativa, los tipos de cobertura se clasifican, uno o dos a la vez, y el proceso de selección de banda se repite en cada iteración, de modo que se selecciona la combinación de bandas que proporciona la mejor separabilidad entre las clases que quedan por clasificar. El número óptimo de bandas para realizar la clasificación también se determina para cada iteración, de modo que la clasificación del área que se enmascara en cada iteración logra la mayor precisión posible. El análisis de patrones espectrales y los índices de separación espectral se utilizan en el proceso de selección de banda. El análisis SIG se utiliza para obtener probabilidades previas y para determinar si variables como la elevación, la pendiente y el aspecto pueden dar lugar a una fuente de información para la segmentación del área de estudio en estratos más homogéneos. Los resultados de este estudio muestran que: (1) El enfoque de clasificación iterativa propuesto es superior a los enfoques tradicionales supervisados â€‹â€‹y no supervisados â€‹â€‹de un solo paso con un nivel de confianza del 99%, y (2) Las probabilidades previas mejoran el proceso de selección de banda solo cuando la separabilidad de TD Se utiliza el índice, pero no mejora el proceso de clasificación en sí. El análisis SIG del área de estudio puede servir como una herramienta muy útil para segmentar el área de estudio en estratos más homogéneos, pero debido al gran tamaño del área de estudio y al gran número de clases (21 clases) discriminadas, no ayudó en la clasificación realizada en este estudio.",An iterative classification approach for mapping natural resources from satellite imagery,"This project explores an iterative classification process as an alternative to two-stage classifications. In the iterative classification approach cover types are classified, one or two at a time, and the band selection process is repeated in each iteration, so that the combination of bands that provides the best separability among the classes that remain to be classified is selected. The optimum number of bands to perform the classification is also determined for each iteration, so that the classification of the area that is masked in each iteration achieves the highest possible accuracy. Spectral Pattern Analysis, and Spectral Separability Indices are used in the band selection process. GIS analysis is used to obtain prior probabilities, and to determine if variables such as elevation, slope, and aspect can result in a source of information for segmentation of the study area into more homogeneous strata. The results of this study show that: (1) The proposed iterative classification approach is superior to traditional single-step supervised and unsupervised approaches with a 99 per cent confidence level, and (2) Prior probabilities improve band selection process only when the TD separability index is used, but do not improve the classification process itself. GIS analysis of the study area may serve as a very useful tool for segmenting the study area into more homogeneous strata, but due to the large size of the study area, and the large number of classes (21 classes) being discriminated it did not help in the classification performed in this study. ?? 1996 Taylor And Francis Ltd.",,,,,
4,#A03,0,4,8,Muestreo mejorado del suelo y estimación del rendimiento del cultivo utilizando datos satelitales,"Los procedimientos existentes para la estimación del rendimiento de los cultivos involucran experimentos de corte de cultivos (CCE, por sus siglas en inglés) realizados durante el tiempo de cosecha en las parcelas seleccionadas en base a un esquema de muestreo prediseñado utilizando los datos disponibles del terreno. Estos diseños de muestreo en el suelo no consideran la condición del cultivo que está directamente relacionada con el rendimiento durante la temporada, para la estratificación y la posterior selección de muestras que conducen a una distribución sesgada de las parcelas. Además, estos experimentos son capaces de proporcionar estimaciones solo en unidades de área más grandes, como el área de comando total. Por lo tanto, es necesario mejorar el diseño de muestreo para lograr estimaciones más precisas. En este documento se ha propuesto una metodología alternativa que explota la información sobre el área y la condición del cultivo, derivada de los datos de la teledetección satelital casi en tiempo real, para mejorar el diseño del muestreo del suelo. La metodología se demuestra en las divisiones de Davangere y Malebennur del área de comando del proyecto Bhadra para estimar el rendimiento promedio de arroz durante Rabi 1992-93. Los resultados obtenidos de la metodología convencional y el procedimiento mejorado mostraron que este último ha aumentado la precisión de las estimaciones. Los valores de rendimiento obtenidos de las parcelas de CCE se han regresado con las estadísticas correspondientes del Ã?ndice de Vegetación de Diferencia Normalizada (NDVI) y, por lo tanto, el modelo de rendimiento de arroz derivado es capaz de proporcionar las estimaciones de rendimiento en unidades de área 1 más pequeñas, como dentro del comando de distribución.",Improved ground sampling and crop yield estimation using satellite data,"The existing procedures for crop yield estimation involve Crop Cutting Experiments (CCEs) conducted during harvesting time in the plots selected based on a pre-designed sampling scheme using available ground data. These ground sampling designs do not consider the crop condition which is directly related to the yield during the season, for stratification and subsequent sample selection leading to biased distribution of plots. Moreover these experiments are capable of providing estimates only at larger areal units such as the total command area. Hence there is a need to improve the sampling design to achieve more accurate estimates. An alternate methodology exploiting the information on crop area and crop condition, derived from satellite remote sensing data on near real-time basis, for improving the ground sampling design has been proposed in this paper. The methodology is demonstrated in the Davangere and Malebennur divisions of the Bhadra project command area to estimate the average yield of paddy during Rabi 1992-93. The results obtained from conventional methodology and the improved procedure showed that the latter has increased the accuracy of estimates. The yield values obtained from CCE plots have been regressed with corresponding Normalized Difference Vegetation Index (NDVI) statistics and thus the derived paddy yield model is capable of providing the yield estimates at smaller area 1 units, such as within distributary command. ?? 1996 Taylor And Francis Ltd.",,,,,
5,#A04,2,8,4,"Monitoreo activo de incendios forestales en el estado de Uttaranchal, India, utilizando datos DMSP-OLS y MODIS multitemporales","Este documento da cuenta del monitoreo activo de incendios forestales diurnos y nocturnos realizado en los bosques templados subtropicales y húmedos del estado de Uttaranchal, India, durante 2005 utilizando el Programa de Satélite Meteorológico de Defensa - Sistema de exploración de línea operativa (DMSP-OLS) y Moderado Datos satelitales del espectroradiómetro de imágenes de resolución (MODIS). El estado experimentó episodios de incendios intensos durante mayo-junio de 2005 y se utilizaron conjuntos de datos diarios de DMSP-OLS (noche) y conjuntos de datos MODIS (diurnos) libres de nubes seleccionados para mapear ubicaciones de incendios activos. DMSP-OLS recopila datos en bandas visibles (0,5 a 0,9 m) y térmicas (10,5 a 12,5 m) y detecta fuentes de luz tenues en la superficie de la tierra, incluidos los incendios. El algoritmo de fuego mejorado para la detección activa de fuego (versión 4) se utilizó para derivar productos de fuego de conjuntos de datos MODIS. Las ubicaciones de incendios derivadas de los datos DMSP-OLS y MODIS se validaron con datos limitados del terreno del departamento forestal y los informes de los medios. Los resultados del estudio indicaron que el estado experimentó episodios de incendios intensos, la mayoría de ellos ocurriendo durante la noche en lugar de durante el día. La validación de incendios derivados de satélites con datos terrestres mostró un alto grado de correlación espacial.","Active forest fire monitoring in Uttaranchal State, India using multi-temporal DMSP-OLS and MODIS data","This paper gives an account of day-night active forest fire monitoring conducted over the sub-tropical and moist temperate forests of the Uttaranchal State, India, during 2005 using the Defence Meteorological Satellite Program - Operational Line Scan system (DMSP-OLS) and Moderate Resolution Imaging Spectroradiometer (MODIS) satellite data. The state experienced heavy fire episodes during May-June 2005 and daily datasets of DMSP-OLS (night-time) and selected cloud-free MODIS (daytime) datasets were used in mapping active fire locations. DMSP-OLS collects data in visible (0.5 to 0.9 ??m) and thermal (10.5 to 12.5 ??m) bands and detects dim sources of lighting on the earth's surface, including fires. The enhanced fire algorithm for active fire detection (version 4) was used in deriving fire products from MODIS datasets. Fire locations derived from DMSP-OLS and MODIS data were validated with limited ground data from forest department and media reports. Results of the study indicated that the state experienced heavy fire episodes, most of them occurring during night-time rather than daytime. Validation of satellite-derived fires with ground data showed a high degree of spatial correlation.",,,,,
6,#A05,2,9,3,Validación de operaciones de recuperación de nieve en subpíxeles AVHRR sobre los Alpes europeos en base a datos de ASTER,"La nieve es de gran importancia económica y social para los Alpes europeos. El monitoreo preciso de la capa de nieve alpina es un componente clave en el estudio del cambio climático regional, así como en el pronóstico diario del clima y el modelado de la escorrentía del deshielo. Estas aplicaciones requieren información de cobertura de nieve en una resolución temporal alta en tiempo casi real. Para los Alpes europeos, los mapas de fracciones operacionales de la capa de nieve se generan diariamente utilizando datos del Radiómetro avanzado de muy alta resolución (AVHRR) a bordo de las plataformas de la Administración Nacional Oceánica y Atmosférica (NOAA). La distribución de la capa de nieve es inherentemente discontinua y heterogénea en esta región montañosa. Por lo tanto, hemos implementado un enfoque directo de desmezcla de miembros finales múltiples para estimar la capa de nieve fraccional. Las proporciones de subpíxeles son difíciles de validar porque no hay productos similares disponibles y no existen observaciones terrestres apropiadas. En este estudio, validamos las recuperaciones de nieve de subpíxeles AVHRR usando conjuntos de datos clasificados binarios del Radiómetro de Emisión Térmica Avanzada y Reflejo Radiométrico (ASTER) para establecer errores absolutos de nuestro enfoque operativo en tres sitios de prueba. Nuestro análisis indica que los mapas de subpíxeles AVHRR se comparan bien con los datos ASTER agregados, mostrando una correlación general de 0,78 y proporcionando estimaciones de subpíxeles con un error absoluto medio de 10.4% de capa de nieve fraccional. Las discrepancias entre los mapas de fracciones de nieve AVHRR y ASTER se pueden atribuir a las condiciones variables de nieve, los efectos del terreno y la densidad en la cubierta forestal.",Validation of operational AVHRR subpixel snow retrievals over the European Alps based on ASTER data,"Snow is of great economic and social importance for the European Alps. Accurate monitoring of the alpine snow cover is a key component in studying regional climate change as well as in daily weather forecasting and snowmelt run-off modelling. These applications require snow cover information on a high temporal resolution in near-real time. For the European Alps, operational snow cover fraction maps are generated on a daily basis using data from the Advanced Very High Resolution Radiometer (AVHRR) on board the National Oceanic and Atmospheric Administration (NOAA) platforms. Snow cover distribution is inherently discontinuous and heterogeneous in this mountainous region. We have therefore implemented a straightforward multiple endmember unmixing approach to estimate fractional snow cover. Subpixel proportions are difficult to validate because similar products are not available and appropriate ground-based observations do not exist. In this study, we validate AVHRR subpixel snow retrievals using binary classified data sets from the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) to establish absolute errors of our operational approach at three test sites. Our analysis indicates that the AVHRR subpixel maps compare well with the aggregated ASTER data, showing an overall correlation of 0.78 and providing subpixel estimates with a mean absolute error of 10.4% fractional snow cover. Discrepancies between AVHRR and ASTER snow fraction maps can be attributed to varying snow conditions, terrain effects and density in forest cover.",,,,,
7,#A06,1,6,6,Análisis de lacunaridad para determinar extensiones óptimas para la extracción de información espacial basada en muestras de imágenes forestales de alta resolución,"El análisis de lacunaridad se evaluó como un medio para determinar escalas de patrones múltiples que son inherentes a las imágenes de alta resolución de los bosques y para especificar una extensión espacial óptima para la extracción de información de imágenes espaciales. Se analizaron una serie de imágenes de píxeles de 0,5 m de madera dura templada y bosques boreales mixtos utilizando distribuciones de lacunaridad calculadas para extensiones espaciales que varían de 7 ma 40 m. La extensión óptima se tomó como la que mostraba el mayor número de escalas de patrones distintos. Para el conjunto de datos de bosques de madera dura templada, se encontró que las extensiones de 12-14 m eran óptimas, detectando tres escalas de patrones. Para el conjunto de datos de bosque boreal, las extensiones óptimas fueron de 14-18 m para cinco de seis parcelas, detectando dos o tres escalas de patrón en cada parcela. Las escalas de patrón detectadas variaron de 8m a 14m y mostraron cierta correspondencia con el tamaño de la copa de los árboles, pero también respondieron a grupos de árboles de bajo y alto o de copas de árboles parcialmente expuestas. El método puede ayudar a determinar la extensión de la muestra que mejor captura las escalas de patrones presentes en las imágenes. En términos más generales, puede ser útil en el análisis exploratorio de cualquier dato espacial para el que no se conocen los patrones fundamentales.",Lacunarity analysis to determine optimum extents for sample-based spatial information extraction from high-resolution forest imagery,"Lacunarity analysis was evaluated as a means to determine multiple pattern scales that are inherent in high-resolution imagery of forests and to specify an optimal spatial extent for spatial image information extraction. A series of 0.5 m pixel images of temperate hardwood and mixed boreal forests were analysed using lacunarity distributions calculated for spatial extents ranging from 7 m to 40 m. The optimal extent was taken as that which displayed the greatest number of distinct pattern scales. For the temperate hardwood forest dataset, 12-14 m extents were found to be optimal, detecting three pattern scales. For the boreal forest dataset, optimal extents were 14-18 m for five of six plots, detecting two or three pattern scales in each plot. The detected pattern scales ranged from 8m to 14m and showed some correspondence to tree crown size, but also responded to clusters of understorey and overstorey trees or to partially exposed tree crowns. The method can aid in determination of the sample extent that best captures the pattern scales present in the imagery. More generally, it can be useful in exploratory analysis of any spatial data for which the fundamental patterns are not known. ?? 2006 Taylor & Francis.",,,,,
8,#A07,2,11,1,Un algoritmo eficiente de segmentación de imágenes de textura basado en el modelo GMRF para la clasificación de imágenes de detección remota,El análisis de textura de las imágenes de teledetección basado en la clasificación de unidades de área representadas en segmentos de imagen suele ser más preciso que operar en una base de píxeles individuales. En este artículo sugerimos un procedimiento de dos pasos para segmentar patrones de textura en datos detectados de forma remota. Una imagen se clasifica primero en base al análisis de textura usando una técnica de parámetros múltiples y escala múltiple. Los resultados intermedios se tratan luego como segmentos iniciales para la segmentación posterior basada en el modelo de campo aleatorio de Gaussian Markov (GMRF). El procedimiento de segmentación busca fusionar pares de segmentos con la mínima diferencia de varianza. Los experimentos que utilizan datos reales demuestran que el procedimiento de dos pasos mejora tanto la eficiencia computacional como la precisión de la clasificación de texturas.,An efficient texture image segmentation algorithm based on the GMRF model for classification of remotely sensed imagery,Texture analysis of remote sensing images based on classification of area units represented in image segments is usually more accurate than operating on an individual pixel basis. In this paper we suggest a two-step procedure to segment texture patterns in remotely sensed data. An image is first classified based on texture analysis using a multi-parameter and multi-scale technique. The intermediate results are then treated as initial segments for subsequent segmentation based on the Gaussian Markov random field (GMRF) model. The segmentation procedure seeks to merge pairs of segments with the minimum variance difference. Experiments using real data prove that the two-step procedure improves both computational efficiency and accuracy of texture classification. ?? 2005 Taylor & Francis.,,,,,
9,#A08,0,3,9,"Análisis del cambio de uso del suelo en la prefectura de Yulin, noroeste de China, utilizando teledetección y SIG","El rápido cambio en el uso de la tierra ha tenido lugar en muchas regiones áridas y semiáridas de China, como la prefectura de Yulin, en la última década debido a medidas de rehabilitación. En este documento, se investigó la dinámica del cambio en el uso del suelo mediante el uso combinado de la teledetección satelital y los sistemas de información geográfica (SIG). Nuestros objetivos fueron determinar las tasas de transición del uso de la tierra entre los tipos de uso de la tierra en la prefectura de Yulin durante 14 años entre 1986 y 2000 y cuantificar los cambios de varias métricas del paisaje utilizando FRAGSTATS, el programa de análisis de patrones espaciales para mapas categóricos. Utilizando datos de Landsat Thematic Mapper (TM) de resolución de 30 m del Instituto de Aplicación de Teledetección (IRSA) en China, clasificamos las imágenes en seis tipos de uso del suelo: tierras de cultivo, bosques, pastizales, agua, zonas urbanas y / o urbanizadas tierra y tierra estéril. Se produjeron cambios significativos en el uso de la tierra dentro del área durante el período de estudio. Los resultados muestran que la disminución significativa en tierras áridas se debió principalmente a la conversión a pastizales. Las tierras de cultivo aumentaron un 3,39%, asociadas con las conversiones de pastizales y tierras áridas. El paisaje se ha vuelto más continuo, agrupado y más homogéneo. El estudio demuestra que la integración de la teledetección satelital y el SIG fue un enfoque eficaz para analizar la dirección, la velocidad y el patrón espacial del cambio en el uso del suelo.","Land-use change analysis in Yulin prefecture, northwestern China using remote sensing and GIS","Rapid land-use change has taken place in many arid and semi-arid regions of China such as Yulin prefecture over the last decade due to rehabilitation measures. In this paper, land-use change dynamics were investigated by the combined use of satellite remote sensing and geographical information systems (GIS). Our objectives were to determine land-use transition rates among land-use types in Yulin prefecture over 14 years from 1986-2000 and to quantify the changes of various landscape metrics using FRAGSTATS, the spatial pattern analysis program for Categorical Maps. Using 30-m resolution Landsat Thematic Mapper (TM) data from the Institute of Remote Sensing Application (IRSA) in China, we classified images into six land-use types: cropland, forestland, grassland, water, urban and/or built-up land, and barren land. Significant changes in land-use occurred within the area over the study period. The results show the significant decrease in barren land was mainly due to conversion to grassland. Cropland increased by 3.39%, associated with conversions from grassland and barren land. The landscape has become more continuous, clumped and more homogeneous. The study demonstrates that the integration of satellite remote sensing and GIS was an effective approach for analysing the direction, rate and spatial pattern of land-use change. ?? 2004 Taylor & Francis Ltd.",,,,,
10,#A09,0,5,7,Mezcla de cobertura del suelo e índices espectrales de vegetación,"Los índices de vegetación se han utilizado ampliamente como indicadores de variaciones estacionales e interanuales en la vegetación causadas por las actividades humanas o el clima, con el objetivo general de observar y documentar los cambios en el sistema de la Tierra. Mientras que los sistemas de sensores remotos satelitales existentes, como el espectrorradiómetro de imágenes de ángulos múltiples de la NASA (MISR) y el espectrorradiómetro de imágenes de resolución moderada (MODIS), están proporcionando productos de datos de índice de vegetación mejorados mediante la corrección de las distorsiones en la reflectancia de la superficie causadas por partículas atmosféricas y el suelo cubiertas debajo del dosel de vegetación, el impacto de la mezcla de la cubierta terrestre en los índices de vegetación no se ha abordado completamente. En este estudio, basado en muestras espectrales de imágenes reales para mezclas de dos componentes de bosques y tipos de cobertura terrestre comunes no forestales directamente extraídos de una imagen MISR de 1.1 km haciendo referencia a una clasificación de cobertura terrestre de 30 m, el efecto de la mezcla de cobertura terrestre en El Ã?ndice de Vegetación de Diferencia Normalizada (NDVI) y el Ã?ndice de Vegetación Mejorada (EVI) han sido evaluados cuantitativamente. Cuando la fracción areal del bosque era inferior al 80%, tanto el NDVI como el EVI variaban mucho con los tipos mixtos de cobertura del suelo, aunque el EVI variaba menos que el NDVI. Tal fenómeno puede causar errores en las aplicaciones basadas en el uso de estos índices de vegetación. Este estudio sugiere que los métodos que reducen los efectos de mezcla de la cubierta terrestre deberían introducirse al desarrollar nuevos índices de vegetación espectral.",Land-cover mixing and spectral vegetation indices,"Vegetation indices have been widely used as indicators of seasonal and interannual variations in vegetation caused by either human activities or climate, with the overall goal of observing and documenting changes in the Earth system. While existing satellite remote sensing systems, such as NASA's Multi-angle Imaging SpectroRadiometer (MISR) and Moderate Resolution Imaging Spectroradiometer (MODIS), are providing improved vegetation index data products through correcting for the distortions in surface reflectance caused by atmospheric particles as well as ground covers below vegetation canopy, the impact of land-cover mixing on vegetation indices has not been fully addressed. In this study, based on real image spectral samples for two-component mixtures of forest and common nonforest land-cover types directly extracted from a 1.1 km MISR image by referencing a 30 m land-cover classification, the effect of land-cover mixing on the Normalized Difference Vegetation Index (NDVI) and the Enhanced Vegetation Index (EVI) has been quantitatively evaluated. When the areal fraction of forest was lower than 80%, both NDVI and EVI varied greatly with mixed land-cover types, although EVI varied less than NDVI. Such a phenomenon can cause errors in applications based on use of these vegetation indices. This study suggests that methods that reduce land-cover mixing effects should be introduced when developing new spectral vegetation indices. ?? 2005 Taylor & Francis.",,,,,
