Documents,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,1,0,1,1,0,0,1,0,1,0
2,1,1,1,0,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,0,1
4,1,1,0,1,0,0,0,0,1,0,0,0
5,1,0,1,1,1,1,1,0,0,1,1,0
6,1,1,1,1,1,1,0,0,1,1,1,0
7,1,0,1,1,0,0,0,1,1,0,1,0
8,1,1,1,1,1,1,1,1,1,1,0,1
9,0,0,0,0,1,1,0,0,0,0,1,0
10,1,0,0,0,0,1,0,0,1,1,1,0
11,1,0,0,1,1,0,0,0,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1
13,1,0,0,0,0,0,0,0,0,0,0,1
14,1,0,1,0,1,1,0,0,0,1,1,0
15,0,0,0,0,0,1,0,0,1,1,1,1
16,1,0,0,0,1,1,1,1,1,1,1,1
17,1,1,0,1,1,1,1,1,1,1,1,1
18,0,0,1,1,1,0,0,0,1,0,1,0
19,0,0,0,0,1,0,0,0,0,0,1,0
20,1,1,1,1,1,1,1,0,0,0,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
22,1,0,0,0,1,1,1,1,0,0,0,0
23,1,1,1,1,1,0,1,1,1,0,1,1
24,0,0,0,0,1,0,0,0,0,0,0,0
25,0,0,0,0,1,,1,0,1,0,0,0
26,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1
28,1,0,1,0,1,1,0,1,0,0,1,0
29,1,1,0,1,1,1,1,1,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,1,1,0,1,0,1,0,1,1
32,0,0,0,0,0,0,0,1,1,0,0,0
33,1,0,1,0,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,0,1
35,1,0,1,0,0,1,0,1,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0
37,1,0,1,1,1,1,1,1,1,1,0,1
38,1,1,0,1,1,1,1,1,1,1,0,1
39,1,0,0,0,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,1,1,0,1,0
41,,,,,,1,,,1,1,,
42,,,,0,,0,,,,1,,
43,,0,,0,,1,,,,,,
44,,0,,0,,,,0,,,,
45,,1,,,,,,1,,,0,
46,,,,,0,,,0,,,0,
47,,,,,1,,1,,,,1,
48,1,,,,1,,0,,,,,
49,1,,1,,,,1,,,,,
50,1,,0,,,,,,,,,1
51,,,0,,,,,,1,,,0
52,,,,,,,,,1,1,,0
53,,,,,,1,,,0,1,,
54,,,,0,,0,,,,1,,
55,,0,,0,,0,,,,,,
56,,1,,0,,,,1,,,,
57,,1,,,,,,1,,,1,
58,,,,,0,,,0,,,0,
59,,,,,1,,0,,,,1,
60,0,,,,1,,0,,,,,
61,0,,0,,,,0,,,,,
62,0,,0,,,,,,,,,1
63,,,0,,,,,,1,,,0
64,,,,,,,,,0,0,,1
65,,,,,,1,,,1,1,,
66,,,,1,,1,,,,1,,
67,,1,,1,,1,,,,,,
68,,0,,0,,,,0,,,,
69,,0,,,,,,0,,,0,
70,,,,,0,,,1,,,0,
71,,,,,1,,0,,,,1,
72,0,,,,1,,0,,,,,
73,1,,1,,,,1,,,,,
74,0,,0,,,,,,,,,0
75,,,0,,,,,,0,,,0
76,,,,,,,,,1,1,,1
77,,,,,,0,,,0,0,,
78,,,,0,,0,,,,1,,
79,,0,,1,,1,,,,,,
80,,0,,0,,,,0,,,,
81,,1,,,,,,1,,,1,
82,,,,,1,,,0,,,0,
83,,,,,1,,0,,,,1,
84,1,,,,1,,1,,,,,
85,0,,0,,,,0,,,,,
86,1,,1,,,,,,,,,1
